,method,elo,elo+,elo-,rank,winrate,improvability,improvability+,improvability-,mrr,rank=1_count,rank=2_count,rank=3_count,rank>3_count,time_train_s,time_infer_s,time_train_s_per_1K,time_infer_s_per_1K,normalized-error,normalized-error-task,imputed,median_rank,median_improvability,median_loss_rescaled,median_metric_error,median_time_train_s,median_time_infer_s,median_time_train_s_per_1K,median_time_infer_s_per_1K,median_normalized-error,median_normalized-error-task,median_imputed,method_type,method_subtype,config_type,ta_name,ta_suite
24,TABPFNV2_GPU (default),1319.4,93.8,75.4,27.117063492063494,0.5418059,0.16436530688787407,0.07409668676031772,0.0637215087690978,0.0924984806670606,0.7111111111111111,0.34444444444444444,0.6,26.344444444444445,9.734856278271902,0.5823293121088119,4.658569762472109,0.41216920714766886,0.6760278578822475,0.7373056680531505,0.17857142857142858,23.205555555555556,0.11201188776387633,0.12213491487117442,0.2051155058078962,8.093020015292698,0.3713029225667318,3.4931702644941645,0.3495765106953927,0.7698157436145326,0.7863247232330962,0.0,config,default,TABPFNV2_GPU,TabPFNv2_GPU,tabarena-2025-06-12
25,XGB (tuned),1318.8,45.9,48.5,27.160714285714285,0.5410401,0.1510805283328418,0.08056407589276804,0.06231098808706288,0.05245136556684937,0.03333333333333333,0.2111111111111111,0.03333333333333333,27.72222222222222,3175.7918354324406,0.6947789444809869,1086.821801742101,0.522131146954582,0.8302017349944066,0.8165469575109627,0.0,26.719444444444445,0.10214897411023355,0.10412100995577125,0.18552455594518852,1580.7604635198911,0.29850195513831246,729.6075924232059,0.23158071423241486,0.9643837827151196,0.8855338739648769,0.0,hpo,tuned,XGB,XGBoost,tabarena-2025-06-12
26,MNCA_GPU (tuned + ensemble),1316.5,80.3,82.0,27.314484126984127,0.5383423,0.15387476143594636,0.06933481868226388,0.05980796798155587,0.07656377446967129,0.5444444444444444,0.2222222222222222,0.03333333333333333,27.2,28349.737277835655,73.47910076848098,5114.569593526505,14.706068720510842,0.7617867514858728,0.75411616426082,0.0,23.65,0.11036456132482728,0.07286431753927147,0.19167475651889043,12411.187855773504,11.806450790829128,5447.874597634456,8.743516387788919,0.821887282938133,0.8141783185732728,0.0,hpo,tuned_ensemble,MNCA_GPU,ModernNCA_GPU,tabarena-2025-06-12
27,EBM (tuned + ensemble),1313.7,54.3,43.9,27.50734126984127,0.5349589,0.1583415217958831,0.07854707123029353,0.06478811919358918,0.05617132286115657,0.05,0.15,0.3888888888888889,27.41111111111111,54346.761121305164,2.8696914332726644,20711.836669444754,1.5357919348172768,0.8297945991537726,0.8279978959478244,0.0,24.88888888888889,0.10128699215558017,0.11243108895306907,0.18633315254176683,4959.211306876607,1.0684287243419224,2686.1102136380086,0.4695456043501349,0.8763962261797318,0.8446191792812935,0.0,hpo,tuned_ensemble,EBM,ExplainableBM,tabarena-2025-09-03
28,Cabin (ours),1309.1,62.9,53.3,27.814087301587303,0.52957743,0.15718636919008339,0.07405299636877805,0.06560648247763061,0.05609088749902277,0.13333333333333333,0.13333333333333333,0.25555555555555554,27.477777777777778,372.2878860560201,19.132918934831544,143.08592542821506,19.68967156888949,0.8082653512673262,0.832674855339728,0.0,28.27777777777778,0.08379259999482991,0.1158449427128331,0.1793969528936893,184.05716429021624,1.7322060002221003,87.33678872691652,2.0889667252853723,0.9759269585570767,0.9244149890380372,0.0,baseline,,,Cabin,custom-2026-03-13
29,XRFM_GPU (tuned + ensemble),1307.0,52.8,51.8,27.959126984126982,0.52703285,0.1578297497666919,0.06790476443672067,0.06462252860991513,0.06019539696604661,0.06666666666666667,0.6777777777777778,0.15,27.105555555555554,9603.771563096792,17.65027046066428,1373.3728568338315,4.152867838962669,0.8358691810899395,0.8122688198079803,0.0,26.183333333333334,0.08894840893343395,0.09755339391851794,0.180124786573527,2010.3465564846992,4.261944405237834,1053.8389609554633,3.0628419070465713,0.9533276927862961,0.8237443185548776,0.0,hpo,tuned_ensemble,XRFM_GPU,xRFM_GPU,tabarena-2025-09-03
30,TABM_GPU (default),1303.8,60.6,64.5,28.179761904761904,0.52316207,0.15926951000433137,0.08316819432712683,0.0650122635831994,0.06452490910625557,0.3111111111111111,0.28888888888888886,0.14444444444444443,27.255555555555556,61.682573802509005,0.5667323370301534,14.835675797854533,0.2968720619413236,0.7765474233939643,0.8035947658521786,0.0,27.555555555555557,0.09578732108109975,0.10506816403934927,0.17940447391033604,19.912485864427353,0.16973161697387695,10.213381764059356,0.1381032773929915,0.9030847074936763,0.8551169141783292,0.0,config,default,TABM_GPU,TabM_GPU,tabarena-2025-06-12
31,TABDPT_GPU (default),1303.6,85.6,79.5,28.194444444444446,0.52290446,0.15053142188504662,0.05661425736788081,0.05526375536050837,0.0906855927256378,0.3,0.8388888888888889,1.0944444444444443,25.766666666666666,480.8903891251201,225.3606902061474,45.13525596195366,43.37765292065244,0.7364925643025416,0.7582779442683814,0.0,32.38333333333333,0.11140578243815694,0.11084418981748893,0.19144209695472097,198.03013952573139,66.6236925787396,46.89821159739387,43.82395203037029,1.0,0.9135418898799468,0.0,config,default,TABDPT_GPU,TabDPT_GPU,tabarena-2025-10-20
32,NN_TORCH (tuned + ensemble),1300.7,57.6,48.6,28.39027777777778,0.5194688,0.15231401259942126,0.0756810812860223,0.06247492709976536,0.0484770902267992,0.03333333333333333,0.03333333333333333,0.14444444444444443,27.788888888888888,17562.746462081446,7.637633069876641,3131.183492581656,3.2561923278095626,0.851238445977714,0.8276202685377859,0.0,27.65555555555556,0.10022855331568825,0.10207613581775171,0.18230790362234012,7796.159378780259,3.3854765362209744,2757.393609937777,2.362116445133486,0.9978730221908028,0.8784725259268167,0.0,hpo,tuned_ensemble,NN_TORCH,NeuralNetTorch,tabarena-2025-06-12
33,EBM (tuned),1286.4,50.8,46.2,29.35972222222222,0.5024611,0.16359653933867543,0.07884816446477833,0.06392536948979279,0.054498991041548504,0.13333333333333333,0.1,0.21111111111111108,27.555555555555557,54346.761121305164,0.37091357726899404,20711.836669444754,0.24738534662306924,0.8700485146255089,0.8500588448988934,0.0,28.56388888888889,0.10586696800997913,0.1285200315159352,0.18939599596106377,4959.211306876607,0.10572666856977675,2686.1102136380086,0.05401001848814474,1.0,0.8819753467639645,0.0,hpo,tuned,EBM,ExplainableBM,tabarena-2025-09-03
34,XRFM_GPU (tuned),1275.4,49.6,54.5,30.111507936507937,0.4892718,0.1685877214276738,0.07173076002531092,0.06898484385812824,0.06524549231592207,0.4611111111111111,0.15,0.22777777777777777,27.16111111111111,9603.771563096792,1.7357388754212668,1373.3728568338315,0.27656503242129804,0.8657972990868348,0.8418134721722732,0.0,28.18888888888889,0.11856044707531851,0.10398345213047418,0.1771460683643954,2010.3465564846992,0.19655309783087838,1053.8389609554633,0.16875500703207183,0.9981228399802309,0.8816807378886392,0.0,hpo,tuned,XRFM_GPU,xRFM_GPU,tabarena-2025-09-03
35,EBM (default),1267.8,41.7,50.0,30.626984126984127,0.48022836,0.16897520455941678,0.08126086779766589,0.06767017542383306,0.05333730277032929,0.24444444444444444,0.13333333333333333,0.06666666666666667,27.555555555555557,149.34997765246837,0.2983846342279798,51.93412493535682,0.17075065934347403,0.8590455487827232,0.8609751354470213,0.0,29.727777777777778,0.10524704051777077,0.11924174261018139,0.18831976942424228,14.209096956253052,0.0960937221844991,7.3950600272958305,0.056995989874116,1.0,0.9221938586246439,0.0,config,default,EBM,ExplainableBM,tabarena-2025-09-03
36,MNCA_GPU (default),1267.2,49.8,49.0,30.665873015873018,0.47954607,0.17617591527653922,0.07340409383183741,0.06660889135516188,0.06207075893657748,0.37777777777777777,0.17777777777777776,0.4222222222222222,27.022222222222222,110.04711052647659,3.7856039439874984,13.535436367935501,0.771275208116245,0.8761589047432936,0.8535312917065037,0.0,28.944444444444443,0.10372912905978474,0.12430541410995105,0.19362899551188198,28.71179113123152,0.4847150511211819,14.777266169000828,0.34634581634079226,1.0,0.8657373175364627,0.0,config,default,MNCA_GPU,ModernNCA_GPU,tabarena-2025-06-12
37,FASTAI (tuned + ensemble),1261.8,61.6,66.0,31.032142857142855,0.4731203,0.1735468647945173,0.07949368076622809,0.06920519940143026,0.06296134662265603,0.4666666666666667,0.2,0.13333333333333333,27.2,5322.660462133421,13.886344349005865,1526.1869645234353,9.860322689924383,0.835096883128149,0.8404991686449993,0.0,28.49722222222222,0.10414701125998861,0.13854880412230025,0.1848476447138906,2480.0450326363243,10.96295540465249,1031.2762762778966,7.936193361184221,1.0,0.8748208801838405,0.0,hpo,tuned_ensemble,FASTAI,NeuralNetFastAI,tabarena-2025-06-12
38,NN_TORCH (tuned),1227.0,53.0,47.5,33.35198412698413,0.43242133,0.17128095859556547,0.0745002492522866,0.06268687832634352,0.04529633077520635,0.2111111111111111,0.0,0.06666666666666667,27.72222222222222,17562.746462081446,0.4080465851795106,3131.183492581656,0.1916126981793489,0.9226776663554587,0.8925364286003509,0.0,33.97222222222222,0.12195121233410378,0.12582835826806166,0.18175059060217846,7796.159378780259,0.1617233223385281,2757.393609937777,0.15177921475257505,1.0,0.9388618689762063,0.0,hpo,tuned,NN_TORCH,NeuralNetTorch,tabarena-2025-06-12
39,REALMLP_GPU (default),1226.5,45.4,40.4,33.38472222222222,0.43184695,0.17505699681152884,0.07296807577680706,0.06459834527990185,0.046290911493048315,0.16666666666666666,0.13333333333333333,0.13333333333333333,27.566666666666666,83.34733814213958,4.005493253091025,15.571151734721019,4.823127000029011,0.9379762115901719,0.9091208300743069,0.0,32.83333333333333,0.11484525867155336,0.11627901699045992,0.19118444885233174,37.78860782252418,3.7884810898039074,12.832320135621377,3.1782656368232454,1.0,0.9395777266501859,0.0,config,default,REALMLP_GPU,RealMLP_GPU,tabarena-2025-09-03
40,XGB (default),1205.9,52.8,49.1,34.73373015873016,0.4081802,0.17838088774912148,0.08317178136809522,0.061633979847076456,0.042279175206378174,0.14444444444444443,0.14444444444444443,0.1111111111111111,27.6,7.63431139318716,0.3496840770755495,3.071548052349638,0.2684057796103313,0.9381001511780037,0.9155735836432509,0.0,36.611111111111114,0.12789813864504535,0.1546569977461924,0.18873009872201682,4.802795754538642,0.24510856337017484,2.131192529504693,0.1723616650766632,1.0,0.984126528840845,0.0,config,default,XGB,XGBoost,tabarena-2025-06-12
41,XT (tuned + ensemble),1204.3,64.9,69.6,34.83621031746032,0.40638226,0.19207597527808865,0.09164202275015523,0.07780798429608367,0.04747517873158413,0.1125,0.20833333333333331,0.25,27.429166666666667,1042.4083585112342,2.291641511567055,504.1026476971836,1.5692386546597414,0.9024189673783941,0.8830910678133563,0.0,37.94166666666666,0.1189758178176879,0.16224115906894315,0.1871801752933308,725.5295861164728,1.376043540901608,301.5469175743016,1.1072061410393341,1.0,0.9667723118762446,0.0,hpo,tuned_ensemble,XT,ExtraTrees,tabarena-2025-06-12
42,FASTAI (tuned),1201.6,60.4,76.4,35.01706349206349,0.40320942,0.18770657200235938,0.07756586589114825,0.06816290119633964,0.05161160947665616,0.2,0.21111111111111108,0.42777777777777776,27.16111111111111,5322.660462133421,0.9364483009255122,1526.1869645234353,0.7309469111940813,0.9369438388325371,0.8866331573396715,0.0,33.81666666666666,0.1142237740189996,0.1459679157837085,0.18575992170261857,2480.0450326363243,0.7653437455495198,1031.2762762778966,0.5556626877495074,1.0,0.9224748745143085,0.0,hpo,tuned,FASTAI,NeuralNetFastAI,tabarena-2025-06-12
43,XT (tuned),1172.7,62.8,81.5,36.857142857142854,0.3709273,0.20116739806398456,0.09136411403013703,0.07869484624657185,0.04967028743323122,0.22083333333333333,0.2833333333333333,0.39444444444444443,27.101388888888888,1042.4083585112342,0.26078083586125145,504.1026476971836,0.1979444586328616,0.9279069347163398,0.9020402863324273,0.0,39.44444444444444,0.13152299771681195,0.17334626749328502,0.18999858621900323,725.5295861164728,0.16428564654456246,301.5469175743016,0.1387003008311967,1.0,0.9897557579600567,0.0,hpo,tuned,XT,ExtraTrees,tabarena-2025-06-12
44,RF (tuned + ensemble),1169.6,71.8,82.3,37.04861111111111,0.36756822,0.20306962055806257,0.09453495753894839,0.07451288310598159,0.04627481265374823,0.1625,0.2361111111111111,0.125,27.476388888888888,1326.6701833075947,2.112743543490531,552.0576303980956,1.4868265695387908,0.9266975200460214,0.8972561867682357,0.0,38.458333333333336,0.11680437167740257,0.17793151819283737,0.1881036126719604,831.0791872077518,1.1740471296840242,440.56392522158217,1.1454339336659096,1.0,0.9876535669390507,0.0,hpo,tuned_ensemble,RF,RandomForest,tabarena-2025-06-12
